dataset,scale,base_name,image_name,hr_path,lr_path,psnr_y_Bicubic,psnr_y_MambaIR,psnr_y_MambaIRv2,psnr_y_SwinIR,ssim_y_Bicubic,ssim_y_MambaIR,ssim_y_MambaIRv2,ssim_y_SwinIR,case_type,score
Manga109,4,ginnochimera,GinNoChimera.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/GinNoChimera.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/GinNoChimera_LRBI_x4.png,27.79063785837112,39.69996438071957,40.38561420886915,39.63838838546317,0.8987730093443979,0.9763577558464519,0.976956135596644,0.976241446522243,largest_mambairv2_gain_over_bicubic,12.59497635049803
Manga109,4,haruichibannofukukoro,HaruichibanNoFukukoro.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/HaruichibanNoFukukoro.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/HaruichibanNoFukukoro_LRBI_x4.png,28.231697646372194,40.798823201922644,40.99450698181805,40.3586987806485,0.9085399420194548,0.9825972172740391,0.9828329498157237,0.9822828645643065,largest_mambairv2_gain_over_bicubic,12.762809335445855
Manga109,4,yamatonohane,YamatoNoHane.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YamatoNoHane.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/YamatoNoHane_LRBI_x4.png,27.770535945552925,40.070537067008544,40.3748129541752,39.50182198126006,0.9025738802138148,0.984188670861611,0.9843047909388208,0.9832589783274103,largest_mambairv2_gain_over_bicubic,12.604277008622272
Manga109,4,youchienboueigumi,YouchienBoueigumi.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/YouchienBoueigumi.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/YouchienBoueigumi_LRBI_x4.png,23.117984865764267,36.74212732248201,36.65806605490644,36.62212406046538,0.813921499701418,0.9827347949493798,0.9827634729189307,0.982627468922351,largest_mambairv2_gain_over_bicubic,13.540081189142175
Urban100,4,img040,img040.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img040.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img040x4.png,19.388370754198416,31.877442330912523,31.339666435327977,30.14694810929189,0.7077602142087636,0.9661941235782976,0.9655368834384555,0.9559435678853663,largest_mambairv2_gain_over_bicubic,11.951295681129562
Urban100,4,img043,img043.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img043.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img043x4.png,22.080607465912134,35.76516820708319,35.78017481266887,35.57323392253748,0.7865140239804607,0.9513764471064857,0.9514536479749616,0.9502143423812432,largest_mambairv2_gain_over_bicubic,13.699567346756734
Urban100,4,img081,img081.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img081.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img081x4.png,28.572948366833568,40.40796391070412,40.55695244248821,40.17050321971077,0.8981471434293506,0.9837210437627136,0.9839229881915726,0.9831521701514445,largest_mambairv2_gain_over_bicubic,11.984004075654642
Urban100,4,img090,img090.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img090.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img090x4.png,30.482015250183668,41.58135626603475,42.10613323762842,41.34645400199077,0.8901040705879294,0.9859321818974376,0.9866885216237853,0.9856843957627772,largest_mambairv2_gain_over_bicubic,11.624117987444752
Manga109,4,moeruonisan_vol01,MoeruOnisan_vol01.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/MoeruOnisan_vol01.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/MoeruOnisan_vol01_LRBI_x4.png,23.54774862285755,34.44933407360912,35.0110059242325,33.232948950764666,0.8194054557670568,0.9597958569259889,0.9610009388331248,0.9587954724190116,largest_mambairv2_gain_over_swinir,1.7780569734678338
Manga109,4,uchinonyansdiary_000,UchiNoNyansDiary_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/UchiNoNyansDiary_000.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/UchiNoNyansDiary_000_LRBI_x4.png,22.20127258061991,32.096060332346354,32.509715473672266,30.92463260800486,0.8446427415055552,0.9800055607613368,0.9815362042984461,0.9766288603678057,largest_mambairv2_gain_over_swinir,1.585082865667406
Manga109,4,warewarehaonidearu,WarewareHaOniDearu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/HR/WarewareHaOniDearu.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Manga109/LR_bicubic/X4/WarewareHaOniDearu_LRBI_x4.png,20.31197374181022,25.518719335508507,28.28737588762062,24.998625085259416,0.6194684263003594,0.9150095116599405,0.9480959420992605,0.9045269441636766,largest_mambairv2_gain_over_swinir,3.2887508023612035
Urban100,4,img005,img005.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img005.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img005x4.png,23.3058104288893,31.66284684176282,32.802249129856364,31.64226905839774,0.8424225200448344,0.972633424689282,0.976680771802716,0.9735550467213168,largest_mambairv2_gain_over_swinir,1.159980071458623
Urban100,4,img040,img040.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img040.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img040x4.png,19.388370754198416,31.877442330912523,31.339666435327977,30.14694810929189,0.7077602142087636,0.9661941235782976,0.9655368834384555,0.9559435678853663,largest_mambairv2_gain_over_swinir,1.1927183260360863
Urban100,4,img041,img041.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img041.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img041x4.png,21.002516731024205,29.03903166829387,29.685723683695294,28.41112375405697,0.6905199056764113,0.929782472075779,0.9352940387100082,0.92352874135347,largest_mambairv2_gain_over_swinir,1.274599929638324
Urban100,4,img048,img048.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img048.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img048x4.png,18.181390511690353,21.161884496299656,22.946224361341038,21.749464638546478,0.6922874448573747,0.8655538298577755,0.9068135405293803,0.8804644007200395,largest_mambairv2_gain_over_swinir,1.1967597227945603
Urban100,4,img067,img067.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img067.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img067x4.png,16.961685006376708,22.84802755200687,23.474164370835055,21.95656367414651,0.7142924062763195,0.9307740488467878,0.9414274336608168,0.924599343016893,largest_mambairv2_gain_over_swinir,1.5176006966885467
B100,4,167083,167083.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/167083.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/167083x4.png,19.33496586151996,19.983685094591426,19.971655379317873,19.951650471598022,0.4592901118727886,0.5479232851050421,0.5493053235582697,0.5470928934432313,lowest_mambairv2_psnr_y,19.971655379317873
B100,4,175032,175032.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/175032.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/175032x4.png,20.484970251963993,21.07658606596609,21.06485312003732,21.04871445538501,0.3761793574734164,0.503603499843656,0.5073625720191248,0.5004474373840775,lowest_mambairv2_psnr_y,21.06485312003732
B100,4,33039,33039.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/33039.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/33039x4.png,20.046400372980465,21.382139633806556,21.353925814041254,21.332186917052923,0.5277394028686934,0.6581092382645426,0.65971450149709,0.6543135330415154,lowest_mambairv2_psnr_y,21.353925814041254
B100,4,58060,58060.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/58060.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/58060x4.png,20.51260768680864,21.14317876435679,21.179401948488984,21.172063905334678,0.5428028233196416,0.6484312195930853,0.6517955554629445,0.6488831914455206,lowest_mambairv2_psnr_y,21.179401948488984
Urban100,4,img011,img011.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img011.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img011x4.png,16.03305353452338,20.949755634757,18.79138714636912,18.568576505282202,0.60464799335476,0.865444445205738,0.8148146303216293,0.8156653873600243,lowest_mambairv2_psnr_y,18.79138714636912
Urban100,4,img088,img088.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img088.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img088x4.png,18.64113852094429,20.334251465560207,20.289684220888443,20.173136500649083,0.4455387935197081,0.6501402188469744,0.646752920735105,0.6428789310026968,lowest_mambairv2_psnr_y,20.289684220888443
Urban100,4,img092,img092.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img092.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img092x4.png,16.57801260222486,20.52663926183314,20.79958873173795,19.87294105607598,0.4554490355661978,0.7413805280007144,0.7559045121139228,0.7209987888154519,lowest_mambairv2_psnr_y,20.79958873173795
Urban100,4,img095,img095.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img095.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img095x4.png,18.736273279453265,21.037808857050226,20.90877219025584,20.861257395634407,0.3048355318154307,0.5528808751208176,0.5407441492678073,0.5504469343146905,lowest_mambairv2_psnr_y,20.90877219025584
B100,4,14037,14037.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/14037.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/14037x4.png,32.48225667025352,35.23069665149022,35.214231300175946,35.26828937134166,0.8613998619737361,0.9078113336326483,0.907898973927252,0.9074509101970446,smallest_mambairv2_gain_over_swinir,-0.05405807116571282
B100,4,145086,145086.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/145086.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/145086x4.png,24.14458852142006,26.528207168334127,26.484579736123777,26.525927007147438,0.670768172851312,0.7592765403441007,0.7601770801907205,0.7594130574130675,smallest_mambairv2_gain_over_swinir,-0.041347271023660426
B100,4,21077,21077.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/21077.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/21077x4.png,24.88804760420347,27.488672813958324,27.373965016437296,27.414188976365217,0.680499567982725,0.781339257686763,0.77904881540208,0.7791427013450853,smallest_mambairv2_gain_over_swinir,-0.04022395992792127
B100,4,300091,300091.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/HR/300091.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/B100/LR_bicubic/X4/300091x4.png,27.40457309984441,29.373582062676252,29.367452660736415,29.434125399336747,0.7517901521920329,0.8034526143861188,0.8031755194656055,0.803958520233455,smallest_mambairv2_gain_over_swinir,-0.06667273860033163
Set14,4,coastguard,coastguard.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/coastguard.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/coastguardx4.png,25.474263575619705,26.319564226842843,26.19841364527039,26.402808168592156,0.5345083989235913,0.5977604734697848,0.5962783699126238,0.5971864384019359,smallest_mambairv2_gain_over_swinir,-0.204394523321767
Set14,4,ppt3,ppt3.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/HR/ppt3.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Set14/LR_bicubic/X4/ppt3x4.png,21.91415195114155,27.59623315838237,27.56875692418361,27.607747671032094,0.8241879259554852,0.9661413661306965,0.9676121662781717,0.9670796329734501,smallest_mambairv2_gain_over_swinir,-0.03899074684848358
Urban100,4,img059,img059.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img059.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img059x4.png,20.44645029910463,23.86058141826328,23.991859733171488,24.154526754860367,0.6618607368873455,0.8299753186942412,0.8349606439810068,0.8302230907285115,smallest_mambairv2_gain_over_swinir,-0.16266702168887903
Urban100,4,img071,img071.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/HR/img071.png,/Users/hyp666/Desktop/申请材料/datasets/imageSR/Urban100/LR_bicubic/X4/img071x4.png,25.70789973111179,29.055443404771214,29.024241705465684,29.06187873034675,0.5652894772220566,0.7213783706512344,0.7211354746790952,0.719716751002693,smallest_mambairv2_gain_over_swinir,-0.03763702488106446
