method,dataset,scale,n,mean_delta_psnr_y,mean_delta_ssim_y,median_delta_psnr_y,win_rate_psnr_y,win_rate_ssim_y
MambaIR,B100,4,100,2.0247269990064205,0.08365648727858392,1.7420931244026647,1.0,1.0
MambaIRv2,B100,4,100,2.0408689317082884,0.0844122403078055,1.736409286018187,1.0,1.0
SwinIR,B100,4,100,1.9709608063952992,0.08237045372474078,1.6729259685513451,1.0,1.0
MambaIR,Manga109,4,109,7.421465450614144,0.1368300895453878,7.280895555159255,1.0,1.0
MambaIRv2,Manga109,4,109,7.671554220917551,0.13894158291264713,7.630336135090843,1.0,1.0
SwinIR,Manga109,4,109,7.140381294021719,0.13551907853695846,7.033229740126362,1.0,1.0
MambaIR,Set14,4,14,3.1170192893044004,0.09072011855207562,2.8639894767036242,1.0,1.0
MambaIRv2,Set14,4,14,3.148288311651213,0.09204078282613606,2.943081570365587,1.0,1.0
SwinIR,Set14,4,14,3.001080005646499,0.08959951687748503,2.775741752279364,1.0,1.0
MambaIR,Set5,4,5,4.600531189539501,0.09046754903630724,5.277070970699633,1.0,1.0
MambaIRv2,Set5,4,5,4.714717026775755,0.09160134767486641,5.289170430149312,1.0,1.0
SwinIR,Set5,4,5,4.499233900420111,0.09019910717059287,4.997872017389923,1.0,1.0
MambaIR,Urban100,4,100,4.544358886292871,0.1671457724985826,3.952432184115203,1.0,1.0
MambaIRv2,Urban100,4,100,4.758774067978868,0.17231391295196502,4.252932021063195,1.0,1.0
SwinIR,Urban100,4,100,4.318425890132453,0.16411016632851017,3.6854494240407494,1.0,1.0
