method,dataset,scale,n,mean_psnr_y,mean_ssim_y,mean_psnr_rgb,mean_ssim_rgb,median_psnr_y,median_ssim_y,min_psnr_y,max_psnr_y
Bicubic,B100,4,100,25.954035888765205,0.6854164296725921,24.626831859064183,0.6596021298181971,25.423663619166867,0.6855606046575087,19.33496586151996,34.901891402758174
MambaIR,B100,4,100,27.978762887771627,0.7690729169511761,26.636599334722554,0.7482622238390355,27.40480612988013,0.7880575423621463,19.983685094591426,41.25367729440579
MambaIRv2,B100,4,100,27.994904820473494,0.7698286699803977,26.651865306669652,0.7490422708315613,27.37722003712659,0.788146315260458,19.971655379317873,41.48006202924939
SwinIR,B100,4,100,27.9249966951605,0.7677868833973329,26.580984092442137,0.7467435774812771,27.366805408047455,0.7832534013297283,19.951650471598022,41.19847740406173
Bicubic,Manga109,4,109,24.89559204042547,0.7948614682592159,23.288686314931557,0.7686379588299111,24.873068748581204,0.8073287717194966,17.997389653350197,34.061526514865506
MambaIR,Manga109,4,109,32.31705749103961,0.9316915578046038,30.344904801832502,0.9077105215493073,32.4844231373799,0.9463366861878103,21.565348564242882,42.15456655870262
MambaIRv2,Manga109,4,109,32.56714626134302,0.933803051171863,30.56863253590534,0.9098508556031243,32.61053647120712,0.9482677489069488,21.749858519302933,42.09299949530636
SwinIR,Manga109,4,109,32.035973334447185,0.9303805467961744,30.086849841313324,0.9059259545614446,32.257584012680404,0.9454078463968695,21.412840913295625,42.00264922819813
Bicubic,Set14,4,14,26.0851325546365,0.7215505912141048,24.458627713080546,0.6854242822137371,25.498680233091896,0.7239751069610103,21.690635637039325,31.576264689057343
MambaIR,Set14,4,14,29.2021518439409,0.8122707097661804,27.38846336230741,0.7798910276374216,28.086671298663425,0.8184776887879334,23.247194930278297,34.79710252252454
MambaIRv2,Set14,4,14,29.233420866287712,0.8135913740402408,27.42271688143118,0.7813574102249529,28.082089640705533,0.8186814888264908,23.217498876963447,34.84862530739991
SwinIR,Set14,4,14,29.086212560283002,0.8111501080915897,27.281178497975965,0.778672670721195,27.93191021623403,0.8162799627900155,23.183367952297388,34.73056460886032
Bicubic,Set5,4,5,28.428951991674488,0.8230931252029345,26.69242461445059,0.789795129815332,30.17885034576968,0.8423394143813565,22.10075474203488,31.78430636617301
MambaIR,Set5,4,5,33.02948318121399,0.9135606742392419,31.099924237226947,0.8888703233805464,33.14849171441713,0.9346647941129486,30.039477207878505,36.18433526444084
MambaIRv2,Set5,4,5,33.14366901845024,0.914694472877801,31.19908615012839,0.8899304124994144,33.17671399400266,0.9343860145793096,30.273612852936903,36.366099091173204
SwinIR,Set5,4,5,32.9281858920946,0.9132922323735274,30.996807605473595,0.8880708555425635,33.14881270328794,0.9336607757857796,29.915300136175645,36.058177347331394
Bicubic,Urban100,4,100,23.13633606732461,0.6733925033861407,21.702170819107877,0.6503652883084163,22.895678445476317,0.68382685165823,16.03305353452338,32.69469877818638
MambaIR,Urban100,4,100,27.68069495361748,0.8405382758847233,26.12212210533426,0.8226757274974247,27.3315625379034,0.8420205105001662,20.334251465560207,41.58135626603475
MambaIRv2,Urban100,4,100,27.89511013530348,0.8457064163381056,26.3290093494724,0.8279751502182681,27.358684522543925,0.8523177328287375,18.79138714636912,42.10613323762842
SwinIR,Urban100,4,100,27.454761957457062,0.8375026697146508,25.905832750820977,0.8194886546854836,27.190717451499015,0.8396402204371658,18.568576505282202,41.34645400199077
