method,dataset,scale,n,mean_psnr_y,mean_ssim_y,mean_lpips,mean_qalign,median_lpips,median_qalign
Bicubic,B100,4,100,25.954035888765205,0.6854164296725921,0.5279075306653976,1.73208984375,0.5161774456501007,1.71826171875
MambaIR,B100,4,100,27.978762887771627,0.7690729169511761,0.35562621206045153,2.9459375,0.3324238061904907,2.904296875
MambaIRv2,B100,4,100,27.994904820473494,0.7698286699803976,0.3544589897245169,2.95564453125,0.33452431857585907,2.87890625
SwinIR,B100,4,100,27.92499669516051,0.7677868833973329,0.3548684896528721,2.98,0.3332955092191696,2.91796875
Bicubic,Manga109,4,109,24.89559204042547,0.7948614682592159,0.32218067067752193,2.9042072821100917,0.3127611875534057,2.912109375
MambaIR,Manga109,4,109,32.31705749103961,0.9316915578046038,0.09117664148125348,3.6365933199541285,0.0688301548361778,3.642578125
MambaIRv2,Manga109,4,109,32.56714626134302,0.933803051171863,0.09005219864428311,3.638976490825688,0.0693900361657142,3.65625
SwinIR,Manga109,4,109,32.03597333444719,0.9303805467961744,0.09252409155933404,3.6520032970183487,0.0701106339693069,3.66015625
Bicubic,Set14,4,14,26.085132554636505,0.7215505912141047,0.4396654580320631,1.9629603794642858,0.4125889837741852,1.904296875
MambaIR,Set14,4,14,29.2021518439409,0.8122707097661804,0.26805137576801435,3.2850167410714284,0.2504365891218185,3.1552734375
MambaIRv2,Set14,4,14,29.233420866287712,0.8135913740402408,0.26581846922636027,3.2918526785714284,0.249795064330101,3.1435546875
SwinIR,Set14,4,14,29.086212560283002,0.8111501080915897,0.26703087905687944,3.3224051339285716,0.2501450777053833,3.212890625
Bicubic,Set5,4,5,28.428951991674488,0.8230931252029345,0.3434142589569092,1.6525390625,0.3712206780910492,1.4248046875
MambaIR,Set5,4,5,33.02948318121399,0.9135606742392419,0.1646532639861107,3.044921875,0.1175272837281227,3.16015625
MambaIRv2,Set5,4,5,33.14366901845024,0.914694472877801,0.1635951325297355,3.056640625,0.1148977875709533,3.2109375
SwinIR,Set5,4,5,32.9281858920946,0.9132922323735274,0.16651456952095028,3.1015625,0.1207340210676193,3.275390625
Bicubic,Urban100,4,100,23.13633606732461,0.6733925033861407,0.474622672945261,2.8570703125,0.4889401495456695,2.9013671875
MambaIR,Urban100,4,100,27.68069495361748,0.8405382758847233,0.18330652241595086,4.359609375,0.16060724109411234,4.34765625
MambaIRv2,Urban100,4,100,27.89511013530348,0.8457064163381056,0.1795618141442537,4.35876953125,0.1607897952198982,4.375
SwinIR,Urban100,4,100,27.454761957457062,0.8375026697146508,0.18362198173999783,4.37849609375,0.16191731393337244,4.408203125
