group,metric_x,metric_y,pearson,spearman,n
overall,psnr,qalign_score,0.08363865132510548,0.10558301596305,42
overall,ssim,qalign_score,0.10660279778708173,0.184344866704481,42
overall,lpips,qalign_score,-0.6391240557859434,-0.6687464549064097,42
overall,psnr,lpips,-0.3720940434910165,-0.43375739405234587,42
overall,ssim,lpips,-0.36996394783135633,-0.3141560651486914,42
bicubic,psnr,qalign_score,0.0033255456227588315,0.08131868131868132,14
bicubic,ssim,qalign_score,0.5683038519465414,0.49890109890109896,14
bicubic,lpips,qalign_score,-0.5912176677084893,-0.5736263736263736,14
bicubic,psnr,lpips,-0.46139929013842995,-0.4461538461538462,14
bicubic,ssim,lpips,-0.9062108967008811,-0.9032967032967033,14
blur,psnr,qalign_score,-0.007916849390356894,-0.1032967032967033,14
blur,ssim,qalign_score,0.5743209990575867,0.5120879120879122,14
blur,lpips,qalign_score,-0.5897462463124797,-0.5692307692307692,14
blur,psnr,lpips,-0.5206009572208685,-0.46373626373626364,14
blur,ssim,lpips,-0.9495398407625238,-0.9780219780219781,14
noise,psnr,qalign_score,0.22296725311422697,0.002197802197802198,14
noise,ssim,qalign_score,0.06872498725116474,0.1076923076923077,14
noise,lpips,qalign_score,-0.14202250515215828,-0.13406593406593406,14
noise,psnr,lpips,-0.0775722663341145,-0.27472527472527475,14
noise,ssim,lpips,-0.6116936948200202,-0.45494505494505494,14
